timestamp,hr_bpm,condition,class,class_idx
2024-01-01 00:00:00,66.440025,resting,normal_operation,0
2024-01-01 00:00:01,67.69126,resting,normal_operation,0
2024-01-01 00:00:02,69.127625,resting,normal_operation,0
2024-01-01 00:00:03,66.11175,resting,normal_operation,0
2024-01-01 00:00:04,64.310486,resting,normal_operation,0
2024-01-01 00:00:05,64.79841,resting,normal_operation,0
2024-01-01 00:00:06,64.58124,resting,normal_operation,0
2024-01-01 00:00:07,64.830666,resting,normal_operation,0
2024-01-01 00:00:08,63.805832,resting,normal_operation,0
2024-01-01 00:00:09,65.46171,resting,normal_operation,0
2024-01-01 00:00:10,66.83277,resting,normal_operation,0
2024-01-01 00:00:11,67.026566,resting,normal_operation,0
2024-01-01 00:00:12,68.79674,resting,normal_operation,0
2024-01-01 00:00:13,69.43575,resting,normal_operation,0
2024-01-01 00:00:14,68.03351,resting,normal_operation,0
2024-01-01 00:00:15,68.58556,resting,normal_operation,0
2024-01-01 00:00:16,67.10207,resting,normal_operation,0
2024-01-01 00:00:17,68.49332,resting,normal_operation,0
2024-01-01 00:00:18,68.38076,resting,normal_operation,0
2024-01-01 00:00:19,68.07486,resting,normal_operation,0
2024-01-01 00:00:20,67.04939,resting,normal_operation,0
2024-01-01 00:00:21,68.961235,resting,normal_operation,0
2024-01-01 00:00:22,68.65458,resting,normal_operation,0
2024-01-01 00:00:23,67.96182,resting,normal_operation,0
2024-01-01 00:00:24,67.43884,resting,normal_operation,0
2024-01-01 00:00:25,68.28442,resting,normal_operation,0
2024-01-01 00:00:26,68.81212,resting,normal_operation,0
2024-01-01 00:00:27,69.36859,resting,normal_operation,0
2024-01-01 00:00:28,69.90774,resting,normal_operation,0
2024-01-01 00:00:29,72.970055,resting,normal_operation,0
2024-01-01 00:00:30,71.965355,resting,normal_operation,0
2024-01-01 00:00:31,70.882355,resting,normal_operation,0
2024-01-01 00:00:32,69.433754,resting,normal_operation,0
2024-01-01 00:00:33,70.245735,resting,normal_operation,0
2024-01-01 00:00:34,71.76231,resting,normal_operation,0
2024-01-01 00:00:35,71.29323,resting,normal_operation,0
2024-01-01 00:00:36,69.77243,resting,normal_operation,0
2024-01-01 00:00:37,68.396866,resting,normal_operation,0
2024-01-01 00:00:38,69.344025,resting,normal_operation,0
2024-01-01 00:00:39,70.354454,resting,normal_operation,0
2024-01-01 00:00:40,70.98397,resting,normal_operation,0
2024-01-01 00:00:41,69.75018,resting,normal_operation,0
2024-01-01 00:00:42,69.96167,resting,normal_operation,0
2024-01-01 00:00:43,69.98308,resting,normal_operation,0
2024-01-01 00:00:44,70.155846,resting,normal_operation,0
2024-01-01 00:00:45,71.29396,resting,normal_operation,0
2024-01-01 00:00:46,71.36934,resting,normal_operation,0
2024-01-01 00:00:47,72.12173,resting,normal_operation,0
2024-01-01 00:00:48,71.89698,resting,normal_operation,0
2024-01-01 00:00:49,72.02258,resting,normal_operation,0
2024-01-01 00:00:50,72.65146,resting,normal_operation,0
2024-01-01 00:00:51,70.09741,resting,normal_operation,0
2024-01-01 00:00:52,69.45398,resting,normal_operation,0
2024-01-01 00:00:53,68.63603,resting,normal_operation,0
2024-01-01 00:00:54,67.63082,resting,normal_operation,0
2024-01-01 00:00:55,67.251686,resting,normal_operation,0
2024-01-01 00:00:56,69.558075,resting,normal_operation,0
2024-01-01 00:00:57,68.138855,resting,normal_operation,0
2024-01-01 00:00:58,69.5844,resting,normal_operation,0
2024-01-01 00:00:59,66.93764,resting,normal_operation,0
2024-01-01 00:01:00,66.52465,resting,normal_operation,0
2024-01-01 00:01:01,66.89122,resting,normal_operation,0
2024-01-01 00:01:02,67.86373,resting,normal_operation,0
2024-01-01 00:01:03,68.946014,resting,normal_operation,0
2024-01-01 00:01:04,70.06495,resting,normal_operation,0
2024-01-01 00:01:05,69.381325,resting,normal_operation,0
2024-01-01 00:01:06,68.58201,resting,normal_operation,0
2024-01-01 00:01:07,69.827194,resting,normal_operation,0
2024-01-01 00:01:08,69.3989,resting,normal_operation,0
2024-01-01 00:01:09,67.378365,resting,normal_operation,0
2024-01-01 00:01:10,65.73312,resting,normal_operation,0
2024-01-01 00:01:11,64.54032,resting,normal_operation,0
2024-01-01 00:01:12,65.567924,resting,normal_operation,0
2024-01-01 00:01:13,65.98127,resting,normal_operation,0
2024-01-01 00:01:14,67.18371,resting,normal_operation,0
2024-01-01 00:01:15,66.613396,resting,normal_operation,0
2024-01-01 00:01:16,66.96746,resting,normal_operation,0
2024-01-01 00:01:17,67.99384,resting,normal_operation,0
2024-01-01 00:01:18,67.53577,resting,normal_operation,0
2024-01-01 00:01:19,68.26358,resting,normal_operation,0
2024-01-01 00:01:20,67.25517,resting,normal_operation,0
2024-01-01 00:01:21,66.77581,resting,normal_operation,0
2024-01-01 00:01:22,66.30683,resting,normal_operation,0
2024-01-01 00:01:23,64.65428,resting,normal_operation,0
2024-01-01 00:01:24,65.65821,resting,normal_operation,0
2024-01-01 00:01:25,65.14733,resting,normal_operation,0
2024-01-01 00:01:26,65.40022,resting,normal_operation,0
2024-01-01 00:01:27,66.33532,resting,normal_operation,0
2024-01-01 00:01:28,67.144356,resting,normal_operation,0
2024-01-01 00:01:29,68.217,resting,normal_operation,0
2024-01-01 00:01:30,68.0581,resting,normal_operation,0
2024-01-01 00:01:31,67.42474,resting,normal_operation,0
2024-01-01 00:01:32,67.35749,resting,normal_operation,0
2024-01-01 00:01:33,64.884254,resting,normal_operation,0
2024-01-01 00:01:34,62.969265,resting,normal_operation,0
2024-01-01 00:01:35,61.39416,resting,normal_operation,0
2024-01-01 00:01:36,60.433304,resting,normal_operation,0
2024-01-01 00:01:37,61.64491,resting,normal_operation,0
2024-01-01 00:01:38,60.801765,resting,normal_operation,0
2024-01-01 00:01:39,60.81711,resting,normal_operation,0
2024-01-01 00:01:40,63.347374,resting,normal_operation,0
2024-01-01 00:01:41,63.19204,resting,normal_operation,0
2024-01-01 00:01:42,64.68986,resting,normal_operation,0
2024-01-01 00:01:43,63.56122,resting,normal_operation,0
2024-01-01 00:01:44,63.615196,resting,normal_operation,0
2024-01-01 00:01:45,62.548042,resting,normal_operation,0
2024-01-01 00:01:46,62.482803,resting,normal_operation,0
2024-01-01 00:01:47,64.19186,resting,normal_operation,0
2024-01-01 00:01:48,61.912807,resting,normal_operation,0
2024-01-01 00:01:49,63.058754,resting,normal_operation,0
2024-01-01 00:01:50,63.818058,resting,normal_operation,0
2024-01-01 00:01:51,63.26885,resting,normal_operation,0
2024-01-01 00:01:52,61.485775,resting,normal_operation,0
2024-01-01 00:01:53,62.12269,resting,normal_operation,0
2024-01-01 00:01:54,61.806274,resting,normal_operation,0
2024-01-01 00:01:55,62.658493,resting,normal_operation,0
2024-01-01 00:01:56,63.126354,resting,normal_operation,0
2024-01-01 00:01:57,65.92674,resting,normal_operation,0
2024-01-01 00:01:58,65.741455,resting,normal_operation,0
2024-01-01 00:01:59,64.39484,resting,normal_operation,0
2024-01-01 00:02:00,64.960175,resting,normal_operation,0
2024-01-01 00:02:01,65.54142,resting,normal_operation,0
