pulse,spo2,gen_pulse,gen_spo2,timestamp,label,gen_label
70.0,99.0,,,2024-01-01 00:00:00,normal,
70.0,99.0,,,2024-01-01 00:00:01,normal,
70.0,98.0,,,2024-01-01 00:00:02,normal,
70.0,98.0,,,2024-01-01 00:00:03,normal,
69.0,98.0,,,2024-01-01 00:00:04,normal,
69.0,98.0,,,2024-01-01 00:00:05,normal,
69.0,98.0,,,2024-01-01 00:00:06,normal,
69.0,98.0,,,2024-01-01 00:00:07,normal,
70.0,98.0,,,2024-01-01 00:00:08,normal,
71.0,98.0,,,2024-01-01 00:00:09,normal,
71.0,98.0,,,2024-01-01 00:00:10,normal,
71.0,99.0,,,2024-01-01 00:00:11,normal,
71.0,99.0,,,2024-01-01 00:00:12,normal,
70.0,99.0,,,2024-01-01 00:00:13,normal,
71.0,99.0,,,2024-01-01 00:00:14,normal,
68.66761947879111,100.0,,,2024-01-01 00:00:15,noise,
71.0,99.0,,,2024-01-01 00:00:16,normal,
71.0,99.0,,,2024-01-01 00:00:17,normal,
71.0,99.0,,,2024-01-01 00:00:18,normal,
71.0,99.0,,,2024-01-01 00:00:19,normal,
74.0,99.0,,,2024-01-01 00:00:20,normal,
74.0,99.0,,,2024-01-01 00:00:21,normal,
75.0,99.0,,,2024-01-01 00:00:22,normal,
65.82087944428024,100.0,,,2024-01-01 00:00:23,noise,
70.0,99.0,,,2024-01-01 00:00:24,normal,
70.0,99.0,,,2024-01-01 00:00:25,normal,
70.0,99.0,,,2024-01-01 00:00:26,normal,
70.0,99.0,,,2024-01-01 00:00:27,normal,
71.0,99.0,,,2024-01-01 00:00:28,normal,
65.59260785476623,100.0,,,2024-01-01 00:00:29,noise,
83.39402560400521,100.0,72.23365032434465,98.84782652604542,2024-01-01 00:00:30,noise,noise
72.0,99.0,72.4491347328026,98.84114565351261,2024-01-01 00:00:31,normal,noise
68.78386433908491,100.0,72.64041940499568,98.83792474488376,2024-01-01 00:00:32,noise,noise
73.0,99.0,72.71087896719558,98.82185696830001,2024-01-01 00:00:33,normal,noise
73.0,99.0,72.7306181068835,98.80636522475417,2024-01-01 00:00:34,normal,noise
74.0,99.0,70.33363454979406,98.85305208194107,2024-01-01 00:00:35,normal,normal
75.0,99.0,70.47275450469587,98.75754241328418,2024-01-01 00:00:36,normal,normal
73.0,99.0,70.83759291103293,98.75485876351688,2024-01-01 00:00:37,normal,normal
72.0,99.0,71.017251236882,98.76432599455029,2024-01-01 00:00:38,normal,normal
72.0,100.0,71.07424715620402,98.76650667508794,2024-01-01 00:00:39,normal,normal
73.0,100.0,75.46001995847054,99.10185989301753,2024-01-01 00:00:40,normal,normal
75.0,100.0,75.46062159243203,99.10945292711838,2024-01-01 00:00:41,normal,normal
