timestamp,spo2,condition,class_label
2024-01-01 00:00:00,98.2,steady_state,normal_operation
2024-01-01 00:00:01,98.1,steady_state,normal_operation
2024-01-01 00:00:02,97.9,steady_state,normal_operation
2024-01-01 00:00:03,97.9,steady_state,normal_operation
2024-01-01 00:00:04,97.5,steady_state,normal_operation
2024-01-01 00:00:05,97.6,steady_state,normal_operation
2024-01-01 00:00:06,97.2,steady_state,normal_operation
2024-01-01 00:00:07,96.7,steady_state,normal_operation
2024-01-01 00:00:08,97.4,steady_state,normal_operation
2024-01-01 00:00:09,97.1,steady_state,normal_operation
2024-01-01 00:00:10,97.4,steady_state,normal_operation
2024-01-01 00:00:11,97.2,steady_state,normal_operation
2024-01-01 00:00:12,97.6,steady_state,normal_operation
2024-01-01 00:00:13,98.2,steady_state,normal_operation
2024-01-01 00:00:14,98.1,steady_state,normal_operation
2024-01-01 00:00:15,97.7,steady_state,normal_operation
2024-01-01 00:00:16,98.1,steady_state,normal_operation
2024-01-01 00:00:17,97.7,steady_state,normal_operation
2024-01-01 00:00:18,97.3,steady_state,normal_operation
2024-01-01 00:00:19,97.7,steady_state,normal_operation
2024-01-01 00:00:20,98.1,steady_state,normal_operation
2024-01-01 00:00:21,97.8,steady_state,normal_operation
2024-01-01 00:00:22,97.8,steady_state,normal_operation
2024-01-01 00:00:23,98.2,steady_state,normal_operation
2024-01-01 00:00:24,98.2,steady_state,normal_operation
2024-01-01 00:00:25,97.9,steady_state,normal_operation
2024-01-01 00:00:26,97.7,steady_state,normal_operation
2024-01-01 00:00:27,98.3,steady_state,normal_operation
2024-01-01 00:00:28,98.5,steady_state,normal_operation
2024-01-01 00:00:29,97.8,steady_state,normal_operation
2024-01-01 00:00:30,99.0,steady_state,normal_operation
2024-01-01 00:00:31,98.9,steady_state,normal_operation
2024-01-01 00:00:32,98.6,steady_state,normal_operation
2024-01-01 00:00:33,98.1,steady_state,normal_operation
2024-01-01 00:00:34,98.4,steady_state,normal_operation
2024-01-01 00:00:35,99.0,steady_state,normal_operation
2024-01-01 00:00:36,98.7,steady_state,normal_operation
2024-01-01 00:00:37,98.5,steady_state,normal_operation
2024-01-01 00:00:38,98.4,steady_state,normal_operation
2024-01-01 00:00:39,98.7,steady_state,normal_operation
2024-01-01 00:00:40,98.6,steady_state,normal_operation
2024-01-01 00:00:41,98.5,steady_state,normal_operation
2024-01-01 00:00:42,98.9,steady_state,normal_operation
